datetime,energy_kwh,voltage_mean,intensity_mean,sub_meter_kitchen_kwh,sub_meter_laundry_kwh,sub_meter_climate_kwh,sub_meter_total_kwh,unmetered_kwh
2006-12-16,20.152933333333333,236.24376262626262,13.082828282828283,0.0,0.546,4.926,5.472,14.680933333333332
2006-12-17,56.507666666666665,240.0870277777778,9.999027777777778,2.033,4.187,13.341,19.561,36.946666666666665
2006-12-18,36.73043333333333,241.23169444444446,6.421666666666667,1.063,2.621,14.018,17.702,19.02843333333333
2006-12-19,27.7699,241.9993125,4.926388888888889,0.839,7.602,6.197,14.638000000000002,13.131899999999998
2006-12-20,37.095800000000004,242.30806249999998,6.467361111111111,0.0,2.648,14.063,16.711000000000002,20.384800000000002
2006-12-21,28.618566666666666,241.0419027777778,5.028194444444445,1.765,2.623,10.421,14.809,13.809566666666667
2006-12-22,39.0223,241.1845486111111,6.872916666666667,3.151,0.35,11.131,14.632,24.390300000000003
2006-12-23,79.55643333333335,240.1360763888889,14.028055555555557,2.669,0.425,14.726,17.82,61.736433333333345
2006-12-24,42.5002,241.6874375,7.640416666666667,1.703,5.082,6.891,13.676,28.824199999999998
2006-12-25,45.718666666666664,243.39993055555558,7.951527777777779,6.62,1.962,5.795,14.377,31.34166666666666
2006-12-26,65.5685,241.6254375,11.347916666666666,1.086,2.533,14.979,18.598,46.9705
2006-12-27,25.479333333333333,243.76736111111111,4.5175,0.0,0.314,6.976,7.29,18.189333333333334
2006-12-28,34.54396666666666,243.26833333333335,6.086250000000001,2.207,4.419,9.176,15.802,18.741966666666663
2006-12-29,52.90653333333333,240.87130555555555,9.271388888888888,1.252,5.162,11.329,17.743000000000002,35.163533333333326
2006-12-30,46.7056,240.53597222222223,8.318888888888889,3.147,7.938,12.515,23.6,23.105599999999995
2006-12-31,58.236599999999996,239.8965763888889,10.199583333333333,0.0,0.347,6.502,6.849,51.38759999999999
2007-01-01,45.81673333333333,240.12897916666665,7.916944444444444,0.0,0.352,5.88,6.232,39.58473333333333
2007-01-02,21.153933333333335,241.94377777777777,3.7140277777777775,0.0,0.348,6.562,6.91,14.243933333333334
2007-01-03,16.9009,243.5570902777778,3.0140277777777778,0.0,0.344,4.765,5.109,11.7919
2007-01-04,54.32353333333333,239.7502986111111,9.478194444444444,1.051,7.597,10.896,19.544,34.77953333333333
2007-01-05,45.22273333333333,240.49576388888892,7.885138888888889,1.483,0.379,7.602,9.464,35.75873333333333
2007-01-06,25.139633333333332,239.67305555555555,4.543888888888889,1.336,0.402,5.678,7.416,17.723633333333332
2007-01-07,40.79366666666667,240.90248611111113,7.282638888888889,1.987,8.177,12.81,22.974,17.819666666666667
2007-01-08,37.356,239.5769513888889,6.551666666666667,0.0,0.467,17.547,18.014,19.342000000000002
2007-01-09,31.1509,240.48752083333335,5.521111111111111,1.688,4.267,9.79,15.745,15.4059
2007-01-10,35.913333333333334,241.02745138888892,6.357777777777779,0.771,4.456,11.012,16.239,19.674333333333333
2007-01-11,37.58656666666666,241.1556875,6.658333333333333,1.378,2.17,12.415,15.963,21.62356666666666
2007-01-12,24.354933333333335,241.53820833333336,4.309166666666666,0.0,0.439,8.276,8.715,15.639933333333335
2007-01-13,53.113566666666664,239.28361111111113,9.453055555555554,7.806,2.975,11.341,22.122,30.991566666666664
2007-01-14,50.183816666666665,238.81780555555557,8.971666666666668,1.777,4.215,12.9915,18.9835,31.200316666666666
2007-01-15,35.811299999999996,241.2409097222222,6.261527777777778,1.099,2.239,15.163,18.501,17.310299999999994
2007-01-16,28.106733333333334,241.94475694444446,4.975972222222222,2.063,0.644,6.583,9.290000000000001,18.81673333333333
2007-01-17,47.46146666666667,241.00525,8.283888888888889,3.5,5.737,16.064,25.301000000000002,22.160466666666665
2007-01-18,30.3577,240.89359722222224,5.3425,0.0,0.336,13.491,13.827,16.530700000000003
2007-01-19,24.674,240.16094444444445,4.37625,2.103,0.33,7.172,9.605,15.068999999999999
2007-01-20,52.22886666666667,238.8674722222222,9.348055555555556,4.324,5.222,11.44,20.985999999999997,31.24286666666667
2007-01-21,56.7877,238.96811805555558,10.190694444444444,10.346,5.567,11.599,27.512,29.2757
2007-01-22,36.34156666666667,241.60313194444444,6.355277777777778,1.054,2.983,11.361,15.398,20.943566666666673
2007-01-23,29.627333333333336,242.76255555555556,5.260833333333333,0.0,1.064,5.061,6.125,23.502333333333336
2007-01-24,49.79756666666666,241.45769444444446,8.733611111111111,3.464,2.48,11.744,17.688,32.109566666666666
2007-01-25,26.605733333333333,243.42436111111112,4.629305555555556,1.158,0.262,11.239,12.659,13.946733333333333
2007-01-26,26.9662,242.77179166666667,4.721388888888889,1.163,0.261,8.238,9.661999999999999,17.3042
2007-01-27,34.06786666666667,241.61656944444442,5.949861111111111,1.17,3.896,12.374,17.44,16.627866666666666
2007-01-28,51.54041666666667,240.30152083333334,9.133888888888889,3.466,3.9975,12.061,19.5245,32.01591666666667
2007-01-29,33.0444,240.9295972222222,5.788888888888889,1.123,0.294,15.254,16.671,16.373400000000004
2007-01-30,28.4633,241.84087499999998,5.028194444444445,1.123,1.424,8.149,10.695999999999998,17.767300000000002
2007-01-31,39.39586666666666,239.92113194444443,6.923611111111111,0.0,5.95,15.052,21.002,18.393866666666664
2007-02-01,30.412666666666667,240.3921388888889,5.3325000000000005,1.17,0.386,13.145,14.701,15.711666666666666
2007-02-02,27.7956,240.3343888888889,4.870833333333334,0.0,0.356,11.338,11.693999999999999,16.1016
2007-02-03,67.16203333333334,238.91019444444444,11.815972222222221,4.746,4.573,17.834,27.153,40.00903333333334
2007-02-04,59.93233333333333,239.63333333333333,10.565416666666668,3.391,4.597,14.472,22.46,37.47233333333333
2007-02-05,27.421333333333333,240.81031249999998,4.820416666666667,0.896,2.564,7.849,11.309000000000001,16.112333333333332
2007-02-06,21.224666666666668,241.26415972222225,3.7719444444444448,1.185,0.405,4.517,6.107,15.117666666666668
2007-02-07,38.8003,241.14969444444444,6.791666666666667,3.299,3.513,11.986,18.798000000000002,20.002299999999998
2007-02-08,30.023566666666667,241.79730555555554,5.248333333333334,2.226,0.366,10.157,12.749,17.274566666666665
2007-02-09,27.003300000000003,241.74044444444445,4.727222222222222,0.0,3.045,9.77,12.815,14.188300000000003
2007-02-10,47.15546666666667,240.0368263888889,8.303749999999999,5.071,2.831,14.405,22.307,24.84846666666667
2007-02-11,59.52046666666667,239.5061458333333,10.526805555555557,2.43,4.765,13.114,20.309,39.21146666666667
2007-02-12,31.293499999999998,240.09850000000003,5.503472222222222,2.227,0.399,11.517,14.142999999999999,17.1505
2007-02-13,23.575766666666667,241.16685416666667,4.14375,0.0,2.828,6.256,9.084,14.491766666666667
2007-02-14,41.644533333333335,240.3753888888889,7.315138888888888,3.295,3.793,11.579,18.667,22.977533333333334
2007-02-15,33.0891,240.66922222222223,5.820277777777778,0.0,2.363,14.028,16.391000000000002,16.6981
2007-02-16,28.375466666666668,240.82094444444442,5.0465277777777775,1.148,0.859,8.689,10.696,17.67946666666667
2007-02-17,34.615199999999994,239.31603472222224,6.129166666666666,1.765,2.226,7.157,11.148,23.467199999999995
2007-02-18,63.82936666666667,239.17080555555557,11.238888888888889,6.107,8.003,13.129,27.238999999999997,36.590366666666675
2007-02-19,36.44356666666667,239.78958333333333,6.442222222222222,1.634,2.9,13.085,17.619,18.82456666666667
2007-02-20,52.498799999999996,239.86544444444445,9.168472222222222,2.058,5.191,9.713,16.962,35.5368
2007-02-21,34.5479,240.46096527777777,6.0744444444444445,3.527,2.332,11.548,17.407,17.1409
2007-02-22,56.290333333333336,238.62018055555555,9.880277777777778,1.409,4.165,12.285,17.859,38.431333333333335
2007-02-23,21.891333333333332,240.68596527777777,3.825416666666667,0.0,0.503,10.786,11.289,10.602333333333332
2007-02-24,11.915366666666667,239.86310416666666,2.0858333333333334,0.0,0.363,3.562,3.925,7.9903666666666675
2007-02-25,8.362333333333334,241.6815486111111,1.462222222222222,0.0,0.329,1.66,1.9889999999999999,6.373333333333334
2007-02-26,9.474733333333335,241.27359027777777,1.658888888888889,0.0,0.331,2.83,3.161,6.313733333333335
2007-02-27,8.6352,242.94427083333332,1.5245833333333334,0.0,0.314,1.924,2.238,6.3972
2007-02-28,8.679566666666666,242.15959027777777,1.5284722222222222,0.0,0.34,1.973,2.313,6.366566666666666
2007-03-01,8.626066666666667,241.3214027777778,1.508888888888889,0.0,0.316,1.98,2.296,6.330066666666667
2007-03-02,8.5948,240.59159722222225,1.5068055555555557,0.0,0.34,1.969,2.309,6.285799999999999
2007-03-03,13.652033333333332,241.28808333333336,2.401111111111111,0.0,0.347,4.597,4.944000000000001,8.708033333333331
2007-03-04,34.845,240.0297986111111,6.158194444444444,1.476,8.711,9.408,19.595,15.25
2007-03-05,44.33886666666667,240.03090972222222,7.840277777777778,5.727,12.109,10.026,27.862,16.47686666666667
2007-03-06,20.775,240.98806944444445,3.6956944444444444,0.0,1.74,4.7,6.44,14.334999999999997
2007-03-07,39.58676666666667,240.3235625,6.935,1.076,4.761,15.513,21.35,18.236766666666668
2007-03-08,26.2022,240.66542361111112,4.665138888888889,2.18,3.385,6.655,12.219999999999999,13.982200000000002
2007-03-09,21.2102,240.88846527777778,3.73125,1.093,0.345,8.631,10.069,11.1412
2007-03-10,41.41186666666667,239.80283333333335,7.341944444444445,4.13,5.422,10.979,20.531,20.88086666666667
2007-03-11,58.0106,240.00729166666667,10.121527777777779,4.81,3.42,9.5,17.73,40.28059999999999
2007-03-12,32.51113333333333,240.55871527777776,5.728472222222222,1.403,2.841,12.353,16.597,15.914133333333332
2007-03-13,21.5024,240.89796527777779,3.8056944444444443,1.35,3.859,5.323,10.532,10.970400000000001
2007-03-14,29.889400000000002,240.77729166666666,5.2675,3.485,0.48,8.607,12.572,17.317400000000003
2007-03-15,31.413566666666668,240.28049305555552,5.523194444444444,0.0,3.263,11.036,14.299,17.11456666666667
2007-03-16,28.36756666666667,239.52713194444445,4.992361111111111,1.106,4.604,5.37,11.08,17.28756666666667
2007-03-17,33.8015,238.22465277777778,5.946111111111111,2.208,0.359,12.275,14.842,18.9595
2007-03-18,39.51743333333333,241.04781944444443,7.007916666666667,6.564,7.369,5.856,19.789,19.728433333333328
2007-03-19,35.8753,240.49709027777777,6.281944444444444,1.648,2.686,14.118,18.451999999999998,17.423300000000005
2007-03-20,34.77046666666667,240.8156388888889,6.151249999999999,3.745,2.837,11.255,17.837000000000003,16.933466666666668
2007-03-21,35.70153333333334,240.98664583333334,6.237222222222223,1.865,4.133,12.335,18.333000000000002,17.368533333333335
2007-03-22,24.249633333333335,241.76352777777777,4.223055555555556,0.353,0.736,10.462,11.551,12.698633333333335
2007-03-23,21.8168,241.64547916666666,3.80375,1.127,0.777,8.369,10.273,11.543800000000001
2007-03-24,49.47383333333333,239.70447222222222,8.703333333333333,3.707,5.797,16.382,25.886000000000003,23.58783333333333
2007-03-25,55.61088333333333,240.03453819444442,9.717152777777779,4.63,3.6,9.358,17.588,38.022883333333326
2007-03-26,23.601366666666667,241.3368125,4.183055555555556,1.088,0.344,9.096,10.528,13.073366666666667
2007-03-27,18.419,240.60197916666664,3.296527777777778,0.0,3.019,3.697,6.716,11.703
2007-03-28,38.8983,240.4446111111111,6.854583333333333,1.122,8.527,13.888,23.537,15.3613
2007-03-29,26.506766666666667,240.5366875,4.676805555555556,1.162,0.46,10.724,12.346,14.160766666666667
2007-03-30,23.373233333333335,241.03922916666667,4.189583333333333,1.094,0.468,8.217,9.779,13.594233333333335
2007-03-31,58.49183333333334,239.26077083333334,10.264722222222222,2.62,7.707,17.682,28.009,30.48283333333334
2007-04-01,46.43253333333333,240.02448611111112,8.149444444444445,4.629,5.401,19.509,29.539,16.89353333333333
2007-04-02,32.679633333333335,240.46011805555557,5.71263888888889,1.755,0.97,16.641,19.366,13.313633333333335
2007-04-03,27.380333333333333,240.50495833333335,4.84625,3.63,1.042,7.637,12.309,15.071333333333333
2007-04-04,34.1978,240.33178472222224,5.98625,3.434,0.42,14.748,18.602,15.5958
2007-04-05,30.73463333333333,241.1731041666667,5.491527777777778,1.086,4.277,10.523,15.886,14.848633333333332
2007-04-06,26.68566666666667,241.18445138888887,4.688611111111111,0.0,5.466,9.166,14.632000000000001,12.053666666666668
2007-04-07,25.898733333333332,240.37859027777776,4.564583333333333,1.127,3.111,5.923,10.161000000000001,15.737733333333331
2007-04-08,26.8136,240.34918055555556,4.719861111111111,0.0,0.485,3.545,4.03,22.7836
2007-04-09,16.682,240.55048611111113,2.974583333333333,2.667,0.514,3.801,6.982,9.7
2007-04-10,12.956066666666667,240.8137013888889,2.347361111111111,0.209,0.742,2.572,3.523,9.433066666666667
2007-04-11,14.791366666666667,241.1548263888889,2.61875,0.0,1.112,6.421,7.533,7.258366666666666
2007-04-12,8.961766666666668,240.25606249999998,1.5979166666666667,0.0,0.541,1.818,2.359,6.602766666666668
